                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7345,                 3.5091,                 3.7169,                 1.6836,                0.01969,                0.26852,                0.03232,                0.01935,                0.00568,                0.07548,                0.01757,                0.01654,                 1.2359,                 3.0726,                 3.5704,                 1.5496,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                 1.6246,                 2.8647,                 3.5378,                 1.6123,                0.02677,                0.36195,                0.06428,                0.03392,                0.01079,                0.14703,                0.03075,                0.02664,                 1.2381,                 1.5944,                 3.4768,                 1.5291,              9.904e-05,              9.904e-05,              9.904e-05
                      3,                   1.62,                 2.1405,                 3.2423,                 1.5571,                0.02873,                0.38805,                0.07726,                0.04507,                0.01052,                0.13805,                0.04685,                0.03977,                  1.205,                 1.3403,                 3.4064,                   1.47,             0.00015408,             0.00015408,             0.00015408
                      4,                 1.6457,                 1.8291,                 2.7662,                 1.6228,                0.02258,                0.31117,                  0.063,                0.02949,                0.00246,                0.03227,                0.01855,                0.01715,                 1.2456,                 1.3144,                 3.3026,                 1.4418,             0.00020798,             0.00020798,             0.00020798
                      5,                 1.6367,                 1.6069,                 2.5309,                  1.643,                0.02545,                0.35101,                0.06623,                0.02706,                0.00297,                0.03844,                0.01481,                0.01358,                 1.1933,                 1.3497,                 3.2228,                 1.4435,             0.00026076,             0.00026076,             0.00026076
                      6,                  1.544,                 1.5693,                 2.3816,                  1.573,                0.04301,                0.57323,                0.10826,                0.04901,                0.02107,                0.26824,                0.02441,                0.02023,                 1.2102,                 1.2856,                 3.1473,                 1.4325,              0.0003124,              0.0003124,              0.0003124
                      7,                 1.4956,                 1.4505,                 2.2907,                 1.5301,                0.05719,                0.77946,                0.11697,                 0.0586,                0.03232,                0.43603,                0.03137,                0.02462,                 1.2072,                 1.2294,                 3.0369,                 1.4069,             0.00036291,             0.00036291,             0.00036291
                      8,                 1.4629,                 1.4914,                 2.1909,                 1.4986,                0.05887,                0.81117,                0.11053,                0.06246,                0.03407,                0.46633,                0.03361,                0.02642,                 1.1104,                  1.189,                 2.9515,                  1.364,             0.00041229,             0.00041229,             0.00041229
                      9,                 1.4253,                 1.3988,                 2.0833,                 1.4904,                0.05919,                0.81874,                0.10423,                0.06313,                 0.0344,                0.47391,                0.03391,                0.02692,                 1.0369,                  1.167,                 2.9213,                 1.3651,             0.00046054,             0.00046054,             0.00046054
                     10,                 1.4082,                 1.4188,                 2.0996,                 1.4715,                0.06245,                0.86336,                0.12165,                 0.0654,                0.03577,                0.49383,                0.03607,                0.02841,                 1.0925,                   1.19,                 2.9432,                 1.3426,             0.00050765,             0.00050765,             0.00050765
                     11,                 1.4259,                  1.295,                 2.0461,                 1.4847,                0.06219,                0.85438,                0.17664,                0.08942,                0.03582,                0.49242,                0.05266,                0.04207,                  1.177,                 1.3173,                    2.9,                 1.4265,             0.00055364,             0.00055364,             0.00055364
                     12,                 1.3819,                 1.4187,                  1.921,                 1.4255,                0.06288,                0.84203,                0.24098,                0.13014,                 0.0368,                0.49242,                0.08583,                0.06714,                 1.2428,                 1.4717,                 2.8779,                 1.4288,             0.00059849,             0.00059849,             0.00059849
                     13,                 1.3564,                 1.3861,                 1.8109,                 1.3929,                0.26893,                0.15937,                0.24732,                0.12224,                0.03742,                0.49242,                0.07448,                0.05982,                 1.2481,                 1.3357,                 2.7106,                 1.4211,             0.00064221,             0.00064221,             0.00064221
                     14,                 1.3714,                 1.4107,                 1.7934,                 1.3986,                0.23694,                0.23148,                0.21964,                0.11643,                0.03574,                0.48625,                0.06908,                0.05563,                 1.1705,                 1.2839,                 2.6396,                 1.3819,              0.0006848,              0.0006848,              0.0006848
                     15,                 1.3879,                 1.4931,                 1.8337,                 1.3759,                0.23285,                0.36528,                0.22263,                0.13059,                0.08511,                0.14198,                0.08684,                0.07032,                 1.1386,                 1.1813,                 2.3507,                 1.3902,             0.00072625,             0.00072625,             0.00072625
                     16,                 1.3159,                 1.3635,                 1.6692,                 1.3561,                0.25101,                0.34228,                0.28532,                0.18171,                 0.1431,                 0.2035,                0.14881,                0.12012,                 1.2122,                 1.1654,                 2.2266,                 1.4464,             0.00076658,             0.00076658,             0.00076658
                     17,                 1.2755,                 1.3562,                 1.6506,                 1.3484,                  0.324,                0.47037,                0.32974,                0.21234,                0.28896,                 0.3165,                0.18756,                0.15404,                 1.3103,                 1.1651,                  2.166,                 1.4987,             0.00080577,             0.00080577,             0.00080577
                     18,                 1.2586,                 1.2977,                 1.6162,                 1.3387,                0.46422,                0.51094,                0.48074,                 0.3228,                0.44498,                0.34374,                0.29405,                0.22862,                 1.2782,                 1.1843,                 1.8821,                 1.5178,             0.00084383,             0.00084383,             0.00084383
                     19,                 1.3415,                 1.3797,                 1.6373,                 1.3395,                0.53234,                0.50275,                0.55094,                 0.3706,                 0.5578,                 0.3858,                0.37091,                0.28254,                 1.3526,                 1.1614,                 1.7516,                 1.5309,             0.00088076,             0.00088076,             0.00088076
                     20,                 1.3282,                 1.3416,                 1.6205,                 1.3364,                0.71776,                0.41571,                0.54355,                0.37916,                0.67423,                0.38777,                 0.3952,                 0.3131,                  1.323,                 1.1868,                 1.7071,                 1.5321,             0.00091656,             0.00091656,             0.00091656
                     21,                 1.2074,                 1.2946,                 1.5002,                 1.2706,                0.47156,                0.45241,                0.48468,                0.34267,                0.45784,                0.31762,                0.33172,                0.26682,                 1.1944,                 1.1509,                 1.7691,                 1.4618,             0.00095123,             0.00095123,             0.00095123
                     22,                 1.2316,                 1.3254,                 1.4925,                 1.2996,                0.55111,                0.47331,                0.55049,                0.40828,                0.57939,                0.36448,                0.39042,                0.31036,                 1.2488,                 1.1246,                 1.6866,                 1.5248,             0.00098476,             0.00098476,             0.00098476
                     23,                 1.2067,                 1.2749,                 1.4972,                 1.2933,                0.63515,                  0.564,                0.62941,                0.45271,                0.67569,                0.43929,                0.46418,                0.37433,                 1.2746,                 1.1026,                  1.565,                  1.497,              0.0010172,              0.0010172,              0.0010172
                     24,                 1.1828,                 1.3002,                 1.4479,                 1.2694,                0.70506,                0.49555,                0.64016,                0.48263,                0.70544,                0.43567,                0.47629,                0.37666,                 1.1661,                 1.0444,                 1.4727,                 1.4366,              0.0010484,              0.0010484,              0.0010484
                     25,                 1.1599,                 1.3046,                 1.4002,                 1.2516,                0.73666,                0.51259,                0.63652,                0.47229,                0.73832,                0.43156,                0.45936,                0.37843,                  1.159,                  1.034,                 1.4674,                 1.4128,              0.0010786,              0.0010786,              0.0010786
                     26,                 1.1249,                 1.1984,                 1.3929,                 1.2588,                0.62949,                0.50533,                0.58597,                0.40652,                0.61601,                0.39057,                 0.3963,                0.32907,                 1.2082,                 1.0844,                  1.555,                 1.4045,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.1935,                 1.3139,                 1.4413,                  1.289,                0.41058,                0.47559,                0.49349,                  0.359,                0.53825,                0.31425,                0.33305,                0.27537,                 1.1233,                 1.0611,                 1.7283,                 1.4092,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.2195,                 1.3584,                 1.4976,                 1.2913,                0.35287,                0.52318,                0.45459,                0.33875,                0.47905,                 0.3252,                0.32642,                0.25654,                 1.1628,                 1.0744,                 1.7693,                  1.432,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.1783,                 1.3091,                 1.4112,                 1.2766,                0.52414,                0.49882,                0.55898,                0.40725,                0.71134,                0.36926,                 0.3893,                0.31612,                 1.1586,                 1.1268,                 1.5811,                 1.4003,               0.001047,               0.001047,               0.001047
                     30,                 1.1149,                 1.3229,                 1.3492,                 1.2162,                0.77963,                0.44788,                0.61068,                0.45567,                0.85431,                0.39198,                0.44931,                0.36179,                 1.1303,                 1.1418,                 1.4342,                 1.3405,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.1339,                 1.2584,                 1.3344,                 1.2351,                0.88905,                 0.4712,                0.66735,                0.50947,                0.86481,                0.45745,                0.48386,                0.39041,                 1.0923,                 1.0513,                 1.3855,                 1.3021,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.1141,                 1.2233,                 1.3922,                 1.2546,                0.78548,                0.44304,                0.63921,                 0.4886,                0.83553,                0.41755,                0.46636,                0.37756,                 1.0498,                 1.0481,                  1.432,                 1.2823,              0.0010046,              0.0010046,              0.0010046
                     33,                  1.128,                 1.1878,                 1.3486,                 1.2784,                0.83238,                0.44908,                0.64666,                0.50179,                0.78803,                  0.436,                0.47425,                0.39389,                 1.0375,                 1.0536,                 1.3762,                 1.2898,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.0981,                 1.2555,                 1.3347,                 1.2342,                0.89528,                0.49007,                0.68396,                0.52519,                0.97793,                0.44947,                0.49464,                0.41208,                 1.0041,                 1.0671,                 1.2476,                 1.2778,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.1107,                 1.2463,                 1.3686,                 1.2429,                0.96087,                 0.5014,                0.67359,                0.53062,                0.94925,                0.48625,                0.50277,                0.40185,                0.99599,                 1.0438,                 1.1957,                 1.2805,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.1263,                 1.2657,                 1.3555,                 1.2464,                0.96521,                0.49074,                0.68889,                0.53927,                 0.9514,                0.48174,                0.50185,                 0.3952,                 1.0081,                 1.0258,                 1.2196,                 1.2722,               0.000948,               0.000948,               0.000948
                     37,                 1.0605,                 1.2635,                 1.2549,                 1.1755,                0.75963,                0.51942,                0.68025,                0.52421,                0.88566,                0.43679,                 0.4705,                0.38694,                 1.0323,                0.98433,                 1.3778,                 1.2995,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.0551,                 1.2471,                 1.3195,                 1.2083,                 0.8454,                 0.5225,                0.70593,                0.55156,                0.89048,                0.45118,                 0.4845,                0.39929,                0.99507,                 0.9882,                 1.3799,                 1.2834,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.0584,                 1.2008,                 1.2737,                 1.2109,                0.80038,                0.55603,                0.70457,                0.55243,                0.85204,                0.46352,                0.48996,                0.39813,                0.94506,                0.99845,                 1.3481,                 1.2589,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.0655,                 1.2227,                 1.3074,                 1.2325,                0.85338,                0.53144,                 0.7056,                0.55365,                0.95102,                0.46097,                0.49157,                0.38897,                 0.9188,                0.99503,                 1.2881,                 1.2295,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.0195,                 1.1918,                 1.2287,                 1.1882,                0.97283,                0.50758,                0.69594,                0.55222,                0.97193,                0.48099,                0.50118,                0.40881,                0.86994,                 1.0052,                 1.2159,                 1.2045,             0.00087726,             0.00087726,             0.00087726
                     42,                0.99292,                 1.2021,                 1.2072,                 1.1718,                0.92954,                0.53177,                0.71832,                0.55805,                0.96469,                0.49067,                0.50394,                0.41852,                0.91336,                0.98588,                 1.1568,                 1.2139,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.0098,                 1.1655,                 1.2819,                 1.1975,                0.83495,                0.58355,                0.73317,                0.57923,                0.95824,                0.49242,                 0.4998,                0.40865,                0.91006,                0.97791,                 1.1741,                 1.1941,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.0441,                 1.2917,                 1.2412,                 1.1799,                 0.8177,                0.58464,                0.73793,                0.57838,                0.93921,                0.49242,                0.49892,                0.39604,                0.90178,                0.98858,                 1.1643,                 1.1776,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.0123,                 1.1724,                 1.2485,                 1.2132,                0.91434,                0.52349,                0.72354,                0.57097,                 0.9514,                    0.5,                0.50401,                0.39828,                0.93205,                 1.0214,                 1.1591,                 1.2131,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.0177,                 1.2734,                 1.2457,                 1.1791,                0.90656,                0.51488,                0.68992,                0.55188,                0.94488,                0.49242,                0.50401,                0.40458,                 0.9393,                0.99982,                 1.1688,                 1.2281,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.0126,                 1.2256,                 1.2149,                 1.1824,                0.91025,                0.52399,                0.68823,                0.55344,                0.97855,                0.48614,                0.50275,                0.41752,                0.93338,                 1.0013,                 1.1666,                 1.2272,             0.00079238,             0.00079238,             0.00079238
                     48,                0.95211,                 1.1538,                 1.1673,                 1.1436,                0.90929,                0.51992,                0.68111,                0.54969,                0.95503,                0.48513,                0.50271,                0.41301,                0.91489,                 1.0033,                 1.1791,                 1.2395,             0.00077823,             0.00077823,             0.00077823
                     49,                0.97169,                 1.1923,                 1.1666,                 1.1475,                0.91555,                0.52235,                0.68283,                0.54598,                0.98466,                0.48136,                0.50211,                0.40662,                0.94557,                0.99955,                 1.1863,                 1.2607,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.0045,                 1.2141,                 1.2001,                 1.1726,                0.98641,                0.50697,                0.71061,                0.56508,                0.97357,                0.48123,                0.50249,                0.40226,                0.91619,                0.99159,                  1.124,                 1.2312,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.0283,                 1.3033,                 1.2149,                 1.1489,                0.98703,                0.50992,                0.70938,                0.55774,                0.97368,                0.48765,                0.50239,                0.40232,                0.92392,                 1.0162,                 1.0788,                 1.2277,             0.00073579,             0.00073579,             0.00073579
                     52,                0.94011,                 1.1718,                 1.1583,                 1.1409,                0.97311,                0.52651,                0.69907,                0.54937,                0.95832,                0.49692,                0.50409,                0.40408,                0.93465,                 1.0434,                 1.0363,                 1.2143,             0.00072164,             0.00072164,             0.00072164
                     53,                0.98224,                 1.2057,                 1.1948,                  1.163,                 0.9704,                0.52555,                0.70433,                0.54796,                0.97695,                    0.5,                0.50446,                0.40873,                0.94508,                 1.0141,                 1.0132,                 1.2065,              0.0007075,              0.0007075,              0.0007075
                     54,                0.98787,                 1.1875,                 1.1746,                 1.1693,                0.87987,                0.56962,                0.71992,                0.56366,                0.98872,                    0.5,                0.50458,                0.41194,                0.94721,                0.99841,                 1.0155,                    1.2,             0.00069335,             0.00069335,             0.00069335
                     55,                0.95797,                 1.2058,                  1.133,                 1.1478,                0.98933,                0.52319,                0.72897,                0.56895,                 0.9911,                0.49879,                0.50459,                0.40761,                0.92854,                 1.0136,                 1.0469,                 1.2202,              0.0006792,              0.0006792,              0.0006792
                     56,                0.96552,                 1.2537,                 1.1812,                 1.1487,                 0.8952,                0.56087,                0.72669,                0.56607,                0.99247,                0.49903,                0.50453,                0.41233,                0.91105,                0.99721,                 1.0633,                 1.2164,             0.00066506,             0.00066506,             0.00066506
                     57,                 0.9536,                 1.2201,                 1.1445,                 1.1257,                0.86723,                0.56952,                0.72759,                0.57727,                0.98383,                0.49875,                0.50455,                0.41834,                 0.8911,                0.98291,                 1.0753,                 1.1827,             0.00065091,             0.00065091,             0.00065091
                     58,                0.97781,                 1.2279,                 1.1524,                  1.151,                0.74675,                0.56234,                0.71591,                0.57213,                0.88444,                0.46633,                0.48988,                0.40252,                0.84371,                 0.9659,                 1.1398,                 1.1699,             0.00063676,             0.00063676,             0.00063676
                     59,                0.94802,                 1.1945,                 1.2297,                 1.1454,                 0.8787,                0.54429,                0.74167,                0.57653,                0.95376,                0.48902,                0.50351,                0.40824,                0.86529,                0.97331,                 1.0782,                 1.1785,             0.00062262,             0.00062262,             0.00062262
                     60,                0.98494,                 1.2033,                 1.1692,                  1.178,                0.94054,                0.54707,                 0.7656,                0.59373,                0.98658,                    0.5,                0.50473,                0.40761,                0.87232,                0.97005,                 1.0554,                 1.1867,             0.00060847,             0.00060847,             0.00060847
                     61,                0.92553,                 1.2075,                 1.1433,                 1.1162,                0.92595,                0.56208,                0.75428,                0.59155,                0.99235,                    0.5,                0.50471,                0.41174,                0.86346,                0.97092,                 1.0883,                 1.1874,             0.00059432,             0.00059432,             0.00059432
                     62,                0.91721,                  1.184,                 1.1407,                 1.1205,                0.93534,                0.54602,                0.75088,                0.58729,                0.99306,                    0.5,                0.50458,                0.41352,                 0.8339,                0.97377,                 1.0788,                 1.1558,             0.00058017,             0.00058017,             0.00058017
                     63,                0.95429,                 1.2092,                 1.2209,                 1.1397,                0.98729,                0.53162,                0.74385,                0.58773,                0.99343,                    0.5,                0.50458,                  0.411,                0.81037,                0.97982,                 1.0547,                 1.1423,             0.00056603,             0.00056603,             0.00056603
                     64,                0.90068,                 1.1921,                   1.12,                 1.1212,                0.93747,                0.54331,                0.73048,                0.59194,                0.99002,                    0.5,                0.50462,                0.41129,                0.78698,                0.96716,                  1.051,                 1.1404,             0.00055188,             0.00055188,             0.00055188
                     65,                0.87331,                 1.1482,                 1.0874,                 1.0978,                0.99477,                0.50284,                0.69663,                0.57504,                0.99163,                    0.5,                0.50474,                0.40811,                0.79598,                0.97117,                 1.0631,                 1.1591,             0.00053773,             0.00053773,             0.00053773
                     66,                0.90828,                  1.181,                 1.1169,                 1.1269,                0.98243,                0.49961,                0.67221,                0.56431,                0.98243,                0.49961,                0.50454,                0.40944,                0.80809,                0.97613,                 1.0767,                 1.1769,             0.00052359,             0.00052359,             0.00052359
                     67,                0.91789,                 1.1855,                 1.1299,                 1.1252,                 0.9432,                0.51495,                 0.6705,                0.55277,                0.98407,                0.49961,                0.50448,                0.40804,                0.84995,                0.98246,                 1.1151,                 1.2097,             0.00050944,             0.00050944,             0.00050944
                     68,                0.86104,                 1.1528,                  1.058,                 1.0945,                0.93685,                0.51389,                0.66741,                0.55704,                0.98861,                    0.5,                0.50448,                0.41045,                0.82729,                0.99379,                 1.1125,                 1.2073,             0.00049529,             0.00049529,             0.00049529
                     69,                0.90213,                 1.1145,                 1.1174,                 1.1412,                0.98203,                0.50586,                0.66331,                0.56099,                0.98971,                0.49976,                0.50452,                0.41492,                0.83866,                0.99359,                 1.1058,                 1.2183,             0.00048114,             0.00048114,             0.00048114
                     70,                0.88111,                 1.1821,                  1.064,                  1.112,                0.98326,                0.50617,                0.67486,                0.55681,                0.99108,                0.49955,                0.50467,                0.41874,                0.85957,                0.97568,                 1.0891,                 1.2104,               0.000467,               0.000467,               0.000467
                     71,                0.89401,                 1.1797,                 1.0869,                  1.116,                0.86107,                0.56222,                0.70823,                0.55615,                0.99281,                0.49867,                0.50474,                 0.4177,                0.88648,                0.97437,                 1.0626,                 1.2022,             0.00045285,             0.00045285,             0.00045285
                     72,                0.91179,                 1.1703,                 1.0947,                 1.1119,                 0.8297,                0.58417,                0.71967,                0.56133,                0.98832,                0.49996,                0.50474,                0.41558,                 0.8829,                0.96876,                  1.044,                 1.1892,              0.0004387,              0.0004387,              0.0004387
                     73,                0.90645,                 1.1246,                 1.1051,                 1.1284,                0.91188,                0.56545,                0.73306,                 0.5835,                0.96924,                0.49926,                0.50451,                 0.4148,                0.83766,                0.95273,                 1.0183,                 1.1522,             0.00042456,             0.00042456,             0.00042456
                     74,                 0.9122,                 1.1878,                 1.0982,                 1.1008,                0.92612,                0.55364,                0.74481,                0.60166,                0.97825,                0.49814,                 0.5045,                0.41463,                0.80978,                0.95133,                0.99519,                 1.1321,             0.00041041,             0.00041041,             0.00041041
                     75,                0.89071,                 1.1097,                 1.0766,                 1.1117,                0.80513,                0.63805,                0.75831,                0.60338,                0.99098,                    0.5,                0.50442,                0.41369,                0.83131,                0.94908,                0.99753,                 1.1514,             0.00039626,             0.00039626,             0.00039626
                     76,                0.91841,                 1.1731,                 1.1056,                  1.123,                0.85207,                  0.632,                0.75234,                0.60323,                0.99035,                 0.4994,                0.50441,                0.41248,                 0.8403,                0.94852,                0.99054,                 1.1649,             0.00038211,             0.00038211,             0.00038211
                     77,                 0.8716,                 1.1857,                 1.0561,                 1.0876,                0.86953,                0.57273,                 0.7406,                0.59177,                0.98693,                0.49935,                 0.5044,                0.41212,                0.83835,                 0.9563,                0.98737,                 1.1616,             0.00036797,             0.00036797,             0.00036797
                     78,                0.87053,                 1.1591,                 1.0444,                 1.0868,                0.82935,                0.57351,                0.73766,                0.59938,                0.98596,                    0.5,                0.50438,                0.41373,                0.81591,                0.96746,                0.98331,                 1.1352,             0.00035382,             0.00035382,             0.00035382
                     79,                0.84597,                 1.1639,                 1.0206,                 1.0683,                0.97626,                0.51332,                0.72744,                0.59955,                0.98691,                    0.5,                0.50431,                0.41512,                0.77664,                0.97259,                0.97677,                 1.1213,             0.00033967,             0.00033967,             0.00033967
                     80,                0.83912,                 1.1275,                 1.0349,                 1.1026,                0.95685,                0.51868,                0.71985,                0.59896,                 0.9892,                    0.5,                0.50429,                 0.4135,                0.74406,                0.97496,                0.98332,                 1.1019,             0.00032553,             0.00032553,             0.00032553
                     81,                 0.8878,                 1.1747,                 1.0643,                 1.1112,                0.94878,                0.52278,                0.72105,                0.59569,                0.98939,                    0.5,                 0.5043,                0.41368,                0.74896,                0.97495,                0.98699,                 1.0971,             0.00031138,             0.00031138,             0.00031138
                     82,                0.89008,                 1.2119,                 1.0587,                 1.0808,                0.93539,                0.53227,                0.73009,                0.60181,                 0.9825,                    0.5,                0.50432,                0.41321,                0.75732,                0.97049,                0.97162,                 1.0922,             0.00029723,             0.00029723,             0.00029723
                     83,                0.84555,                 1.1963,                 1.0322,                 1.0796,                0.85047,                0.58366,                0.75905,                0.61354,                0.96926,                    0.5,                0.50432,                0.41432,                0.76071,                0.96458,                0.95217,                  1.086,             0.00028308,             0.00028308,             0.00028308
                     84,                0.88861,                  1.179,                 1.0487,                 1.1081,                 0.7633,                0.68157,                0.78276,                0.62765,                0.96795,                    0.5,                0.50436,                0.41324,                0.77317,                0.95854,                0.93481,                 1.0836,             0.00026894,             0.00026894,             0.00026894
                     85,                0.83425,                 1.1367,                0.99434,                  1.063,                0.76542,                 0.7042,                0.79836,                 0.6332,                0.97174,                    0.5,                0.50437,                0.41317,                0.76988,                0.95227,                0.92625,                  1.077,             0.00025479,             0.00025479,             0.00025479
                     86,                 0.8314,                 1.1369,                 1.0139,                 1.0748,                 0.7496,                0.68027,                0.79325,                0.63298,                0.97688,                    0.5,                 0.5044,                0.41343,                0.75402,                0.94563,                0.91739,                   1.08,             0.00024064,             0.00024064,             0.00024064
                     87,                0.84333,                 1.1038,                 1.0287,                 1.0917,                0.76487,                0.67789,                0.79299,                0.63819,                0.97963,                    0.5,                0.50441,                0.41654,                0.74348,                0.93454,                0.91926,                 1.0903,              0.0002265,              0.0002265,              0.0002265
                     88,                0.83599,                 1.1317,                 1.0219,                 1.0882,                0.77002,                0.69504,                0.78456,                0.63424,                0.98043,                    0.5,                0.50445,                0.41422,                0.74034,                0.92845,                0.91526,                 1.0858,             0.00021235,             0.00021235,             0.00021235
                     89,                0.84632,                  1.156,                 1.0003,                 1.0564,                0.74077,                0.65797,                0.77365,                0.62659,                0.98085,                    0.5,                0.50442,                0.41026,                 0.7434,                0.93252,                0.93726,                 1.1019,              0.0001982,              0.0001982,              0.0001982
                     90,                0.82853,                 1.0825,                 1.0248,                 1.0947,                0.93383,                 0.5341,                 0.7616,                0.62252,                0.98219,                    0.5,                0.50444,                0.40972,                0.74831,                0.93957,                0.95744,                 1.1172,             0.00018406,             0.00018406,             0.00018406
                     91,                0.75436,                 1.0577,                 0.9386,                 1.0451,                0.93881,                0.53088,                0.74721,                0.61979,                0.98921,                    0.5,                0.50448,                0.41168,                0.73561,                0.94494,                0.96082,                 1.1107,             0.00016991,             0.00016991,             0.00016991
                     92,                0.76635,                 1.0243,                 0.9728,                 1.0718,                0.97736,                0.51142,                0.74561,                0.60562,                0.99108,                    0.5,                0.50443,                0.41519,                0.76166,                0.94654,                0.98617,                 1.1342,             0.00015576,             0.00015576,             0.00015576
                     93,                0.73316,                0.96938,                  0.927,                 1.0758,                0.96319,                0.51569,                0.72898,                0.58917,                0.99141,                    0.5,                0.50442,                0.41476,                 0.7981,                0.94658,                 1.0165,                 1.1615,             0.00014161,             0.00014161,             0.00014161
                     94,                 0.7341,                0.98954,                0.95612,                 1.0611,                0.96251,                0.51427,                0.72455,                 0.5829,                0.99001,                    0.5,                0.50444,                0.41827,                0.82533,                0.95097,                 1.0407,                 1.1782,             0.00012747,             0.00012747,             0.00012747
                     95,                0.73444,                0.99434,                0.95385,                 1.0674,                0.97206,                0.50715,                0.71303,                0.57435,                0.98734,                    0.5,                0.50443,                0.41817,                0.83978,                0.95931,                 1.0739,                 1.1875,             0.00011332,             0.00011332,             0.00011332
                     96,                 0.7475,                 1.0314,                 0.9493,                 1.0766,                0.97126,                0.50758,                0.70595,                0.56677,                0.98496,                    0.5,                0.50442,                0.41718,                0.84923,                0.96344,                  1.095,                 1.2069,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.74345,                0.99573,                 0.9382,                  1.079,                0.96948,                0.50758,                0.69877,                0.56166,                0.98254,                    0.5,                0.50438,                0.41668,                0.84576,                0.96398,                 1.1014,                 1.2046,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.72509,                0.98619,                 0.9259,                 1.0631,                0.97181,                0.50977,                0.70507,                0.56713,                0.98086,                    0.5,                0.50437,                0.42002,                0.84244,                  0.961,                 1.0729,                 1.2038,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.71251,                 0.9867,                0.92143,                 1.0631,                0.97222,                0.51002,                0.70767,                0.57006,                0.98301,                    0.5,                0.50435,                 0.4197,                0.81125,                0.95721,                 1.0275,                 1.1681,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.69768,                 1.0085,                0.90012,                 1.0388,                0.97266,                0.51037,                0.71921,                0.58233,                0.98496,                    0.5,                0.50431,                0.41738,                0.80187,                0.95181,                 1.0103,                 1.1588,             4.2584e-05,             4.2584e-05,             4.2584e-05
